,Thermo_republican,gender,age,government,interTrust,elecTrust,religion,relImportance,newReligion
0,100,-1,46,1,3,3,11,2,-1
1,0,-1,37,1,4,2,12,5,4
2,0,-1,40,1,4,4,11,3,-1
3,15,-1,41,1,2,4,2,1,-1
4,85,-1,72,1,4,2,12,4,4
5,0,-1,71,1,2,2,10,3,-1
6,75,-1,37,1,4,3,1,5,-1
7,100,-1,45,2,1,5,12,5,3
8,0,-1,70,1,3,4,12,4,3
9,0,-1,43,1,2,4,12,4,4
10,0,-1,37,1,4,3,1,1,-1
11,0,-1,55,1,3,4,11,2,-1
12,100,-1,30,1,4,1,3,4,-1
13,0,-1,38,1,3,5,8,3,-1
14,40,-1,41,1,4,3,12,1,3
15,100,-1,66,1,4,2,2,3,-1
16,0,-1,54,1,2,5,2,5,-1
17,0,-1,55,1,2,5,2,3,-1
18,15,-1,62,1,3,5,2,1,-1
19,15,-1,80,1,2,4,2,1,-1
20,95,-1,31,2,3,4,2,3,-1
21,0,-1,80,1,4,2,2,2,-1
22,5,-1,24,1,3,2,10,5,-1
23,100,-1,55,1,3,3,1,1,-1
24,15,-1,59,1,2,4,2,2,-1
25,0,-1,73,1,2,3,1,4,-1
26,100,-1,72,1,2,4,1,1,-1
27,60,-1,50,1,3,3,2,5,-1
28,-9,-1,66,1,2,3,2,3,-1
29,0,-1,41,1,4,2,12,4,4
30,85,-1,52,1,5,4,12,2,3
31,0,-1,45,1,3,1,11,5,-1
32,0,-1,46,1,2,4,1,5,-1
33,100,-1,66,1,2,3,1,3,-1
34,0,-1,60,1,2,5,2,3,-1
35,85,-1,73,2,2,3,1,1,-1
36,15,-1,71,1,3,3,11,1,-1
37,0,-1,28,1,3,3,9,5,-1
38,0,-1,73,1,2,4,9,5,-1
39,100,-1,-9,1,2,4,1,3,-1
40,70,-1,37,1,2,3,1,2,-1
41,5,-1,56,1,2,3,11,1,-1
42,100,-1,48,1,4,2,1,4,-1
43,98,-1,53,2,4,4,1,3,-1
44,85,-1,72,2,2,3,12,4,4
45,100,-1,55,1,3,2,12,2,3
46,0,-1,79,1,4,5,2,2,-1
